Month,OrderFrom,SalesAmount
2021-10,CALL CENTER,4933556842.0
2021-10,STORE,10350831091.0
2021-10,WEBSITE,6134540457.0
2021-11,CALL CENTER,4815934579.0
2021-11,STORE,8986391293.0
2021-11,WEBSITE,5624042528.0
2021-12,CALL CENTER,5632098551.0
2021-12,STORE,11004043016.0
2021-12,WEBSITE,6048444394.0
2022-01,APP,735544179.0
2022-01,CALL CENTER,5959878743.0
2022-01,STORE,11131684251.0
2022-01,WEBSITE,4612669490.0
2022-02,APP,987753767.0
2022-02,CALL CENTER,5115485630.0
2022-02,STORE,10893551893.0
2022-02,WEBSITE,4070021275.0
2022-03,APP,1681805132.0
2022-03,CALL CENTER,4696105988.0
2022-03,STORE,10310744385.0
2022-03,WEBSITE,4763334675.0
2022-04,APP,1877751730.0
2022-04,CALL CENTER,3895277191.0
2022-04,STORE,9550428131.0
2022-04,WEBSITE,4271640886.0
2022-05,APP,2632476830.0
2022-05,CALL CENTER,4710308419.0
2022-05,STORE,11716492562.0
2022-05,WEBSITE,4704739597.0
2022-06,APP,2893074634.0
2022-06,CALL CENTER,4422832428.0
2022-06,STORE,11032174820.0
2022-06,WEBSITE,4723594912.0
2022-07,APP,3420597228.0
2022-07,CALL CENTER,3904200441.0
2022-07,STORE,9678084142.0
2022-07,WEBSITE,4246600332.0
2022-08,APP,4650789700.0
2022-08,CALL CENTER,3330203516.0
2022-08,STORE,8153910797.0
2022-08,WEBSITE,4806469608.0
2022-09,APP,4003901136.0
2022-09,CALL CENTER,3238728766.0
2022-09,STORE,8291846860.0
2022-09,WEBSITE,4331851680.0
2022-10,APP,4003756466.0
2022-10,CALL CENTER,2949011116.0
2022-10,STORE,7799661640.0
2022-10,WEBSITE,4726142224.0
2022-11,APP,3796219549.0
2022-11,CALL CENTER,2532904673.0
2022-11,STORE,6708797260.0
2022-11,WEBSITE,3662004679.0
2022-12,APP,4546188215.0
2022-12,CALL CENTER,2983732044.0
2022-12,STORE,7837123084.0
2022-12,WEBSITE,4758279401.0
2023-01,APP,4926553823.0
2023-01,CALL CENTER,3127677761.0
2023-01,STORE,10495035965.0
2023-01,WEBSITE,6220610446.0
2023-02,APP,3681850109.0
2023-02,CALL CENTER,1922613381.0
2023-02,STORE,6576168914.0
2023-02,WEBSITE,4158936079.0
2023-03,APP,5572533170.0
2023-03,CALL CENTER,2164419787.0
2023-03,STORE,7273801821.0
2023-03,WEBSITE,4507175821.0
2023-04,APP,5042790732.0
2023-04,CALL CENTER,1989193241.0
2023-04,STORE,6563505543.0
2023-04,WEBSITE,4162231597.0
2023-05,APP,5474658823.0
2023-05,CALL CENTER,2658200995.0
2023-05,STORE,8797610397.0
2023-05,WEBSITE,5291560153.0
2023-06,APP,5443657866.0
2023-06,CALL CENTER,2174730061.0
2023-06,STORE,7022163375.0
2023-06,WEBSITE,5066320907.0
