Month,VoucherUsed
2021-10,4.072612690489801
2021-11,4.16316665929823
2021-12,2.5437099110283468
2022-01,5.645619288553875
2022-02,3.8843784029663526
2022-03,4.142114154218598
2022-04,5.229755662672448
2022-05,6.285404111400298
2022-06,5.186026539601629
2022-07,10.309322033898304
2022-08,20.99690645287787
2022-09,17.086123297160007
2022-10,15.482545536898638
2022-11,16.527270367004803
2022-12,20.040522509759995
2023-01,18.86227125715806
2023-02,17.92348314191809
2023-03,26.09709799884177
2023-04,23.081367684045954
2023-05,24.16893958178362
2023-06,27.02167040670915
